"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
5,3.30816912651062
6.98135398061561,6.99140119552612
9.74786068053148,9.70554542541504
13.610653192903,13.9073600769043
19.0041575694103,18.9845275878906
26.5349502190898,26.5731887817383
37.0499760674959,37.2171325683594
51.7317995801051,51.7322845458984
72.2316009845951,72.2423782348633
100.854875012008,100.851951599121
140.820716625915,140.69172668457
196.623854113894,196.632263183594
274.540145320404,274.533203125
383.332387274278,383.333129882812
535.235817559233,535.166809082031
747.33414109704,747.343078613281
1043.48083615955,1043.482421875
1456.98181784372,1456.98364257812
2034.34116273756,2034.34582519531
2840.49115488161,2840.4912109375
3966.09484620724,3966.0947265625
5537.74240841359,5537.74267578125
7732.18800132041,7732.18701171875
10796.2282963773,10796.224609375
15074.4582785097,15074.4619140625
21048.0258616595,21048.029296875
29388.7438266794,29388.74609375
41034.6447399361,41034.63671875
57295.4760796601,57295.2734375
80000.0000000002,79999.96875

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
5,-63.3229334170836
6.98135398061561,-61.0180361059857
9.74786068053148,-58.5157588887924
13.610653192903,-56.0012425825427
19.0041575694103,-53.339170300754
26.5349502190898,-50.6729387707374
37.0499760674959,-47.8583339317791
51.7317995801051,-45.1234897144925
72.2316009845951,-42.3312673148511
100.854875012008,-39.5099453236925
140.820716625915,-36.6841657559165
196.623854113894,-33.8725631875311
274.540145320404,-31.0328394069943
383.332387274278,-28.1819904851834
535.235817559233,-25.3060536120077
747.33414109704,-22.3984579880317
1043.48083615955,-19.4183584752161
1456.98181784372,-16.298210889669
2034.34116273756,-12.9060659118718
2840.49115488161,-8.94096517598528
3966.09484620724,-3.65681331368607
5537.74240841359,0.629826731072128
7732.18800132041,-3.95616275736464
10796.2282963773,-8.86605963828795
15074.4582785097,-12.7502351920353
21048.0258616595,-16.1401209582848
29388.7438266794,-19.2236389383655
41034.6447399361,-22.1935389360148
57295.4760796601,-25.0635081754815
80000.0000000002,-27.9008738305344

